title,description,type,tags,image,duration,uploaddate,warning,rating
Transfinite,"This striking sci-fi feature film is composed of seven standalone short stories where supernatural trans and queer people from various cultures use their powers to protect, love, teach, fight and thrive.",Show description or single item,"'Drama', 'Movies', 'All the Feels', 'Bold', 'Mysterious'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3fQYf1wTmkKJlFfvUot4YB/a5f298c80dea1f0f74ddc340689ba20c/Transfinite_Coverimg.png.a5f298c80dea1f0f74ddc340689ba20c.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Snowed-Inn Christmas,"Jenna Hudson and Kevin Jenner are polar opposites, working for the same online publication in New York City. When they both take the same assignment over the Christmas break, seasonal sparks fly.",Show description or single item,"'Movies', 'All the Feels', 'Sassy', 'Romantic'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3WRR7K5eJRJyebgSUMhefD/e1c746d8abb6554df2f4f669e041f9b2/Lifetime_Snowed-Inn_Christmas_coverimg.png.e1c746d8abb6554df2f4f669e041f9b2.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Real MVP: The Wanda Durant Story,Based on the inspiring true story of NBA great Kevin Durant’s mother Wanda and her dedication to raising one of the greatest basketball players in the world.,Show description or single item,"'Drama', 'Movies', 'Sport', 'Revealing', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4mTUcIjuKoQoZzUemKgOw1/d31e821c81b343cb8c0986dc07c7b81f/The-Real-MVP-coverimg.png.d31e821c81b343cb8c0986dc07c7b81f.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Le Grand Soir,"When salesman Jean-Pierre is fired from his job, his punk brother decides it is time to introduce him to the world of the mosh-pit and non-conforming. Winner of the Special Jury Prize at Cannes. French with English subtitles.",Show description or single item,"'Comedy', 'Movies', 'Foreign Language', 'Quirky', 'Crack-Up'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7JvrbAotvrsZ6mInk32VBj/ebb4b4a6b5ed6f89edfea3e41e22fb93/Filmstream_LeGrandSoir_coverimg.png.ebb4b4a6b5ed6f89edfea3e41e22fb93.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Aaliyah: Princess of R&B,"At the height of her music career, Aaliyah died tragically in a plane crash over the Bahamas. This is her story.",Show description or single item,"'Movies', 'Drama', 'All the Feels', 'Epic', 'Iconic'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5A0SJTUlQfm9jCZdaVQxx0/06b83f613562a0f6eec739d2772027dd/Aaliyah-The-Princess-of-R_B_coverimg.png.06b83f613562a0f6eec739d2772027dd.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Disaster Movie,"A group of friends find themselves up against a torrent of disasters and catastrophes, in a hilarious slapstick parody of disaster movies. Starring Kim Kardashian.",Show description or single item,"'Movies', 'Comedy', 'Crack-Up', 'Irreverent', 'Cheeky'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2mPDG5HGVNtjeYG5udinFD/642c3d4f52adce556785e958e5d93d5e/Disaster_Movie_coverimg.png.642c3d4f52adce556785e958e5d93d5e.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Klown,"To prove he's ready for fatherhood, Frank 'kidnaps' his pregnant girlfriend's 12-year-old nephew and takes him along on his best friend Casper's debauched canoe trip. Danish with English subtitles.",Show description or single item,"'Comedy', 'Foreign Language', 'Movies', 'Crack-Up', 'Provocative', 'Naughty'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6g6ah5wmZZ3eHeGiRJtqgk/536825e58180c58330a709a8103fd29d/Filmsteam_Klown_coverimg.png.536825e58180c58330a709a8103fd29d.jpg?width=1600&height=457,No duration found,No upload date found,"WARNING: Contains strong sexual content, graphic nudity and coarse language.",No content rating found
Gangsta Granny,"Ben thinks that his Granny is boring, until they go on a whirlwind adventure together and he discovers a whole other side of her. Based on the book by David Walliams.",Show description or single item,"'Movies', 'Kids', 'Comedy'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/63cDkZAaH29XpO7wDqvwxa/5fe715684fcbfda6c6c2ae5024dc8b7b/GangstaGranny_coverimg.png.5fe715684fcbfda6c6c2ae5024dc8b7b.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Petals on the Wind,"In the sequel to Flowers in the Attic, The Dollanganger siblings attempt to build normal lives for themselves after being held captive by their grandmother for several years. Trying to forget their sordid past, they come to realise that some secrets can't be left behind.",Show description or single item,"'Movies', 'Drama'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5GwlLEMcaI2hyesLR1KWGU/16f55a79173439e4630fa3a048f10062/Lifetime_PetalsontheWind_coverimg.png.16f55a79173439e4630fa3a048f10062.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Sione's Wedding,"When Michael and his three chaotic best mates are banned from attending his brother's wedding, they know something has to change. They get one last chance - find dates to the wedding or be left out in the cold! Starring Robbie Magasiva, Oscar Kightley and Teuila Blakely.",Show description or single item,"'Movies', 'Local', 'Comedy'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2nRK0iLCAf8mtYdh6HKpOH/8b3d8f99bdb0ddc4372b52df15a8690a/SionesWedding_coverimg.png.8b3d8f99bdb0ddc4372b52df15a8690a.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
A Sister's Secret,"Twin sisters, one single and one married with children, switch places on their 30th birthday. When one twin is murdered, the survivor must keep up the charade to uncover her killer and protect her sister's family from harm.",Show description or single item,"'Movies', 'Drama'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7tXOuseaZPoaaYRC1HOzll/43043261b2d89a4dd706c2bf0c374aeb/Lifetime_ASister_sSecret_coverimg.png.43043261b2d89a4dd706c2bf0c374aeb.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Ideal Palace,Discover the unlikely true story of a 19th century postman who dedicated 33 years of his life to building an extraordinary palace for his beloved daughter. French with English subtitles.,Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'Epic', 'Irreverent', 'Lavish'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1GbwlUzZS9dXHBmdG4f2Gv/2cdd42ef0d8a16a983d9d3da7dc26027/TheIdealPalace_coverimg.png.2cdd42ef0d8a16a983d9d3da7dc26027.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Tazzeka,"Hailing from the Moroccan village of Tazzeka, Elias meets a top French chef who inspires him to move to Paris and risk living there undocumented to follow his dreams. French / Moroccan Arabic with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Drama', 'Revealing', 'All the Feels', 'Lavish'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2BtNtNyKoph3miIEZ4HPmg/0c7f5244477ad4fd3b14a1322973f05f/Filmstream_Tazzeka_coverimg.png.0c7f5244477ad4fd3b14a1322973f05f.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Assassin,"A general's daughter trains to become an exceptional assassin, tasked with eliminating cruel and corrupt leaders in 8th century China. Mandarin with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Action-Packed', 'Escapist'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/63ZglVWUHXyChIo2n9Oh6Q/df0c6decdf15cbbb75fa82376a286119/Filmstream_The_Assassin_coverimg.png.df0c6decdf15cbbb75fa82376a286119.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Feliz NaviDAD,"A high school principal and single dad (Mario Lopez) lost the holiday spirit after also losing his wife during the Christmas season. Now, his 14-year-old daughter looks to bring back the spirit of the season.",Show description or single item,"'Movies', 'All the Feels', 'Comforting', 'Crack-Up'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6Svmy3pvHVtnaGZsMLPSX0/4bd1a6078bb4393458bc3d458288206f/Lifetime_Feliz_NaviDAD_coverimg.png.4bd1a6078bb4393458bc3d458288206f.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Unauthorised Beverly Hills 90210 Story,"Pop culture phenomenon Beverly Hills 90210 ruled the 90s television landscape. This special reveals the massive highs and lows, and what went on behind the scenes as the young stars rose to fame.",Show description or single item,"'Movies', 'Drama', 'Nostalgic', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/69r3RsN1XtTzuPyvovu2vC/0204a8d467f7c704285992970abe7ad7/Lifetime_TheUnauthorizedBeverlyHills90210Story_coverimg.png.0204a8d467f7c704285992970abe7ad7.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Happy Face Killer,"Based on the true story, FBI agent Melinda Gand is brought in to help stop the Happy Face Killer, a murderer who is taunting authorities with disturbing notes and confessions signed with a happy face. Starring David Arquette.",Show description or single item,"'Drama', 'Movies', 'Psychological', 'Thrilling'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6r1u67H47M5Ta4fZfxsijp/9efeeac49b1eb94f009ddcd961a4cddc/Lifetime_HappyFaceKiller_coverimg.png.9efeeac49b1eb94f009ddcd961a4cddc.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Dangerous Matrimony,"Years after a woman was mysteriously thrown overboard and left to die in the Caribbean, her sister  becomes determined to find the killer and bring them to justice.",Show description or single item,"'Movies', 'Drama'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6eN0f4JGK7Zn0B3VXlJp3n/79a7602a0b9f7d0a41151ae623f01c73/Lifetime_DangerousMatrimony_coverimgv2.png.79a7602a0b9f7d0a41151ae623f01c73.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Kiwi,The extraordinary story of a remarkable horse that became a racing legend when he ran from last to first over the final 300 metres at Flemington to win The Melbourne Cup. Made with the support of NZ On Air.,Show description or single item,"'Local', 'Movies', 'Drama'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6qL8uFNrxoturNH2wKtDTZ/68f7cb7b2ac865e68cc2a3660ace8078/Kiwi_coverimg.png.68f7cb7b2ac865e68cc2a3660ace8078.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
In Bed with Victoria,"When a 30-something workaholic criminal lawyer bumps into her ex-husband, a drug dealer she successfully defended in court, and her good friend Vincent at a wedding, the series of events turns her life upside down. French with English subtitles.",Show description or single item,"'Comedy', 'Drama', 'Foreign Language', 'Movies', 'Romantic', 'Quirky', 'Witty'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3PI36OC67nB3q3dpQ04EQd/9db532fe478aa9cd7c00148b2105c110/Filmstream_InBedwithVictoria_coverimg.png.9db532fe478aa9cd7c00148b2105c110.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Pool Boy Nightmare,"When Gale ends her brief affair with pool cleaner Adam, he seduces Gale's teenage daughter Becca, using her as an unsuspecting pawn in a twisted game of revenge.",Show description or single item,"'Drama', 'Movies', 'Thrilling', 'Suspenseful'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1MazJ9VpKmlifDfZjKQBAs/873c56c540fb4cabfb8dbeabc478f893/Lifetime_PoolBoyNightmare_coverimg_v3.png.873c56c540fb4cabfb8dbeabc478f893.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Slumdog Millionaire,"Award-winning film about a street-smart teenager from Mumbai, who is accused of cheating on Who Wants to Be a Millionaire.",Show description or single item,"'Drama', 'Movies', 'Bold', 'Thrilling'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/66KhjhEbRvLXWzpkd1IPlZ/ed1acc5b17383ffe9fb50f2b31d4807b/SlumdogMillionaire_coverimg.png.ed1acc5b17383ffe9fb50f2b31d4807b.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Bury The Past,"When a women strikes out at her abusive husband, she fears her story will not be believed as he is a police officer and flees into hiding. But the past isn't always left behind so easily.",Show description or single item,"'Movies', 'Drama', 'Dark', 'Suspenseful', 'Thrilling'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5k1cNZ8sJvlRE4rVMOJbV0/c0c3a71355b1e0cade91daf8d95338a3/Lifetime_BuryThePast_coverimg_v2.png.c0c3a71355b1e0cade91daf8d95338a3.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Abducted: The Mary Stauffer Story,"Inspired by a true story, teacher and missionary Mary Stauffer and her eight-year-old daughter were held captive by a former student who had become obsessed with her. Starring Alyson Hannigan.",Show description or single item,"'Movies', 'Drama', 'Psychological', 'Suspenseful', 'Dark'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5S4Cs3YQ5ltk82qu4rCNe3/05b3bc3d800eda5ad8961cb2732d2a13/Lifetime_AbductedTheMaryStaufferStory_coverimg.png.05b3bc3d800eda5ad8961cb2732d2a13.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Sleeping with Danger,"Grace's dream man Paul quickly becomes her nightmare as a jealous rage leads to a brutal attack. Fearing for her life and the safety of other women, Grace works with the police to bring Paul to justice. Inspired by Ann Rule’s true crime collection Mortal Danger and Other True Cases.",Show description or single item,"'Drama', 'Movies', 'Dark', 'Suspenseful'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/s0CXJMZMOUcFBKTAnV7s3/0576fd7ddecd87b0df30d965a81ccbdf/Lifetime_SleepingWithDanger_coverimg.png.0576fd7ddecd87b0df30d965a81ccbdf.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Glory,"When a reclusive Bulgarian railway worker turns in millions in cash he found spilled on the tracks, his life is turned upside down by the chaos of bureaucracy. Bulgarian with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Drama', 'Irreverent', 'Psychological'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/24Tcl229nrRFH3kzfju5st/b3e9c9ffe68e3a1219764b24206c92cc/FilmStream_Glory_showcover-min.png.b3e9c9ffe68e3a1219764b24206c92cc.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Ixcanul,"On the slopes of an active volcano in Guatemala, a marriage is arranged for 17-year-old María by her Kaqchikel parents to a man who is working in the city, a world María knows nothing of. Spanish with English subtitles.",Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'Revealing', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5PPqn3Fztn5NDyJwhsalfP/8d32142e9f8523dcfc9b7459c3625c4e/Filmstream_Ixcanul_coverimg.png.8d32142e9f8523dcfc9b7459c3625c4e.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Fresh Meat,"After a prison breakout goes violently wrong, a dysfunctional gang of criminals hide out in the home of a middle-class Māori family. But they soon realise this particular family have a taste for human flesh... Starring Temuera Morrison and Kate Elliot.",Show description or single item,"'Movies', 'Comedy', 'Local'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1XU7NYZ1RkPlLxj2AvXy5v/98cb2eac39fbca1148ab33faf0ace38a/FreshMeat_coverv2.png.98cb2eac39fbca1148ab33faf0ace38a.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Mood Indigo,The wealthy and inventive Colin endeavours to find a cure for his lover Chloe after she's diagnosed with an unusual illness caused by a flower growing in her lungs. Starring Audrey Tautou. French with English subtitles.,Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'All the Feels', 'Quirky'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4bdZu34ZnXiM1Oq6LWtzv6/0d3af2ba46077f0a653ccaabaf713ef5/Filmstream_MoodIndigo_coverimg.png.0d3af2ba46077f0a653ccaabaf713ef5.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Lost Wife Of Robert Durst,Based on the true story of convicted killer and real estate mogul Robert Durst; pull back the curtain on his twisted world and explore what may have happened between him and his forgotten first wife Kathie.,Show description or single item,"'Drama', 'Movies', 'Psychological', 'Thrilling'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4cZrlWaINpfquT9YOY4Z9t/7722bca505c92838512f5c2bc19e4a35/The_Lost_Wife_Of_Robert_Durst_coverimg.png.7722bca505c92838512f5c2bc19e4a35.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Flowers in the Attic,"Based on the controversial book series, Flowers in the Attic tells the story of the four Dollanganger siblings, held captive and mistreated by their cruel grandmother. Starring Kiernan Shipka and Heather Graham.",Show description or single item,"'Movies', 'Drama'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6JpJe4R6LDGzjrLRKOzcr1/b86736545a70cd2b7e6c3a9d9ec87eb8/Lifetime_FlowersInTheAttic_coverimg.png.b86736545a70cd2b7e6c3a9d9ec87eb8.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Orator,"Small in stature and humble, Saili lives a simple life with his beloved wife and daughter in an isolated, traditional village in the islands of Samoa. Forced to protect his land and family, Saili must face his fears and seek the right to speak up for those he loves.",Show description or single item,"'Movies', 'Drama', 'Local'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1UtnqnQ8R1lbQXfRZD8s8V/43cc765c18d438cc08aa763a1c002714/TheOrator_coverimg.png.43cc765c18d438cc08aa763a1c002714.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Whitney,"Witness the headline-making relationship between the iconic singer, actress, producer and model Whitney Houston and singer and songwriter Bobby Brown as directed by Academy Award® nominee Angela Bassett.",Show description or single item,"'Drama', 'Movies', 'All the Feels', 'Epic', 'Thought-Provoking'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6QAkrGwE8JsZ6VT8hsBcUh/6b23c26e21db6ab2e0c8ca413e6fb543/Lifetime_Whitney_coverimg.png.6b23c26e21db6ab2e0c8ca413e6fb543.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Last Diamond,"A convicted thief on parole is lured back into his old ways, in a plot to steal a famous, priceless diamond. French with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Action-Packed', 'Suspenseful', 'Lavish'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1cBoVmR8FqKBQ0PhytWEh8/19344e34cd2ecb675fdd2f12c8b09a8c/Filmstream_The_Last_Diamond_coverimg.png.19344e34cd2ecb675fdd2f12c8b09a8c.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
My Wedding and Other Secrets,"When Emily Chu falls in love with and secretly marries a European guy, she faces disownment from her traditional Hong Kong-born parents in this funny and heartfelt Kiwi rom-com.",Show description or single item,"'Movies', 'Comedy', 'Local', 'Romantic', 'All the Feels', 'Crack-Up'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/48Ba5FgAnrPI8BZN3SkFHQ/7ec22f25797a5e18c19f90f9c9c29aad/My-Wedding-and-Other-Secrets_coverimg.png.7ec22f25797a5e18c19f90f9c9c29aad.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
P.S. I Love You,"Gerry is kept alive in the heart of his widowed wife, Holly, when she discovers he's left her a series of messages. Starring Hilary Swank and Gerard Butler.",Show description or single item,"'Movies', 'Romantic', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3zzA0rZt3FpSrnQVbFjz5s/1e9827f57c946f717a76acdf1b99580c/PS-I-Love-You_coverimg.png.1e9827f57c946f717a76acdf1b99580c.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Secrets of Eden,John Stamos stars as a small-town pastor who becomes the prime suspect in a murder case in the drama based on the novel by New York Times best-selling author Chris Bohjalian.,Show description or single item,"'Drama', 'Movies', 'Mysterious', 'Provocative'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4A6NbzFu5DeRlRwUls4KEG/a0dc9ea6d9edfdaf7f40e321e17b2149/Lifetime_SecretsofEden_coverimg_v2.png.a0dc9ea6d9edfdaf7f40e321e17b2149.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Trapped: The Alex Cooper Story,"Based on the real life of Alex Cooper, whose parents sent her to a conversion therapy home when she was 15 after she revealed she was gay. This is the story of how she orchestrated her escape and made legal history.",Show description or single item,"'Movies', 'Drama', 'Thought-Provoking', 'Revealing'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/44PpM6asGgJa9Eyoldu6RE/101e8474e43e513f09e41159beb1628e/Trapped_TheAlexCooperStory_coverimg.png.101e8474e43e513f09e41159beb1628e.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Deals with the issue of suicide.,No content rating found
One Last Deal,An elderly art dealer investigates the history behind an unsigned painting that promises to bring his suffering career to a successful end. Finnish with English subtitles.,Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'All the Feels', 'Lavish'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3HOWxwoHzl1gZsyGeZ0WlN/f6f8e3f098dcc817579ae737091548b6/OneLastDeal_coverimg.png.f6f8e3f098dcc817579ae737091548b6.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
I Am Somebody's Child: The Regina Louise Story,"The real-life story of Regina Louise, an African American girl who navigated more than 30 foster homes and psychiatric facilities before age 18, and Jeanne, the one woman who believed in her. Starring Ginnifer Goodwin.",Show description or single item,"'Drama', 'Movies'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2OH32v0H7QnTxCZE7P2UTL/2ea7179d585da88fea239c22d0aa30d6/Lifetime_IAmSomebodysChildTheReginaLouiseStory_coverimgv3.png.2ea7179d585da88fea239c22d0aa30d6.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Ring of Fire,"Jewel stars as country legend June Carter Cash in this drama about her life, from her beginnings in the rural mountains of Virginia to her turbulent but enduring marriage to Johnny Cash.",Show description or single item,"'Drama', 'Movies', 'Revealing', 'All the Feels', 'Epic'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/14DHh8ZToPmn2jHUUIio8L/5b37ebee7da0172bcd477ba39b6c0f75/RingOfFire_coverimg.png.5b37ebee7da0172bcd477ba39b6c0f75.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Divergent,"Based on the bestselling book series, an outcast must face her destiny within a dystopian world divided into factions. Starring Shailene Woodley.",Show description or single item,"'Movies', 'Epic', 'Otherworldly'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4h6zPH3VPJBTiu558eDxBR/0631c6f4385afffa649399fb07075ee1/Divergent_coverimg.png.0631c6f4385afffa649399fb07075ee1.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Mr Stein Goes Online,"Pierre, a 75-year-old widower, discovers online dating websites but uses a picture of his granddaughter's boyfriend Alex as his profile picture. When a young woman asks to meet, he sends Alex in his place. French with English subtitles.",Show description or single item,"'Comedy', 'Foreign Language', 'Movies', 'Witty', 'Romantic', 'Quirky'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3xzE4c2JQxIlUaRxJsxFiy/39a36fc0bbd12a8a397fbba2830ce6c9/FilmStream_MrSteinGoesOnline_coverimg.png.39a36fc0bbd12a8a397fbba2830ce6c9.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Poppy,"The heartfelt, celebrated story of a spirited young woman, determined to follow her dreams despite her disability. Made with the support of NZ On Air.",Show description or single item,"'Movies', 'Local', 'Cheeky', 'Kiwi As', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/13AnPjuA3CNf1xlQPrtTXi/439cdea060356d3738236b3ba16ec621/Poppy_coverimg.png.439cdea060356d3738236b3ba16ec621.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Catching the Black Widow,The explosive true story of a cold-hearted murderer brought to justice by her sister-in-law. Made with the support of NZ On Air.,Show description or single item,"'Drama', 'Movies', 'Local'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4TmLqImetSuqZ40k6qefI4/5c329a692a88a513bf9524d548209512/catchingtheblackwidow_coverimg.png.5c329a692a88a513bf9524d548209512.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Toni Braxton: Unbreak My Heart,"The life story of singer/songwriter and producer, Toni Braxton, from her discovery by mega producers L.A. Reid and Kenneth “Babyface” Edmonds, to her battle with Lupus and her very public divorce.",Show description or single item,"'Movies', 'Drama', 'Revealing', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6SKVebUgYMgqoEFRNYJzpg/813f0d8e11188fa223698b6dff8618d9/Lifetime_ToniBraxtonUnbreakMyHeart_coverimg.png.813f0d8e11188fa223698b6dff8618d9.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Born To Dance,"Tu Kaea has the chance to audition for K-Crew, the best hip-hop crew in the country, but he has to go behind the backs of his home crew and his best friend Benjy. Starring Stan Walker, Tia-Taharoa Maipi and Parris Goebel.",Show description or single item,"'Movies', 'Drama', 'Local'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/62MiorHcqjQqQAc07hp5Bo/145268dbf52934a7135bcaeba1bd333c/born_to_dance_coverimg.jpg.145268dbf52934a7135bcaeba1bd333c.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Kalo Pothi,"In a war-torn Nepalese village, Prakash and Kiran, two boys from different castes, bond over their affection for a hen whose eggs they hope to sell to help support Prakash's family. Nepali with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Drama', 'Revealing', 'Thought-Provoking'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6l5sNIeZO1V44vZCH6Kf7O/48b97edc6391d5dc69d7cbf82ef9134b/Filmstream_KaloPothi_coverimg.png.48b97edc6391d5dc69d7cbf82ef9134b.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Before We Vanish,"Three aliens with superior technology, skill and strength arrive and take possession of human bodies, threatening to destroy Earth's population. Japanese with English subtitles.",Show description or single item,"'Movies', 'Drama', 'Foreign Language', 'Mysterious', 'Escapist'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6kAPpAMnD0Mjc32zdvG9wl/71c6b169c3e0a58d3d904616b9fb4a83/Filmstream_Before_We_Vanish_coverimg.png.71c6b169c3e0a58d3d904616b9fb4a83.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Lady Chatterley's Lover,"After her husband is injured fighting in World War I, a beautiful young aristocrat embarks on a forbidden affair with a servant. Based on the novel by D. H. Lawrence.",Show description or single item,"'Movies', 'British Drama', 'All the Feels', 'Lavish', 'Romantic'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7g7IenHeA7ElPmnz1IHTWz/9d5054e77f9b9e697f57e23cba7d27cb/lady-chatterlys-lover-alt-cover.png.9d5054e77f9b9e697f57e23cba7d27cb.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
